Sheet/Tab Name,Section,Row Number,Time,Duration,Title/Topic,Facilitator/Owner,Description/Goals,Product Tags,Links/Artifacts,HTML ID,HTML Class,HTML Parent Structure,Additional Notes
Overview,Key Topics,7,1 hr,60m,Pricing & CTS Opt-In AI-Based,"Paymon, Ravi","Decide Agentforce vs. Claude AI backend, CTS rationalization, Pricing (Elite, Signature) and customer experience for customers who have not opted in to Agentforce.",Scale360,,#overview > .card,product-tag tag-s360,.card,Decision makers: Sri/Karishma/Laksh
Overview,Key Topics,8,1 hr,60m,RCA Agent,Ravi,Align on pilot exit criteria and engineering work in support of pilot.,Scale360,,#overview > .card,product-tag tag-s360,.card,
Overview,Key Topics,9,1 hr,60m,Alerting & Alert Enrichment,"Laurent, Paymon","Discuss enrichment gap between ProM and Scale Center and plan for enrichment for Scale360 leveraging Events Platform. Tools to migrate from current Argus to Events platform.",Scale360,,#overview > .card,product-tag tag-s360,.card,
Overview,Key Topics,10,1 hr,60m,Multi-Org & Multi-Cloud,"Paymon, Samir",Review the UI experience shared by Samir. Discuss and decide on the product direction and scope for FY27.,Scale360,,#overview > .card,product-tag tag-s360,.card,
Overview,Key Topics,11,1.5 hrs,90m,Architecture Comparison,"Auro, Paymon",Current architecture vs. new architecture comparison. Helpful for migration and EOL discussions. MCP Servers & Platform Infrastructure.,Scale360,,#overview > .card,product-tag tag-s360,.card,
Overview,Key Topics,12,1 hr,60m,UX Session,Samir,UX discussion and planning session.,Scale360,,#overview > .card,product-tag tag-s360,.card,"Dan Donovan (optional), Decision makers: Sri/Karishma/Laksh"
Overview,3-Day Structure,1,,,Day 1 — User Journey Headless Experience (7.25 hrs),,9 sessions + breaks,Scale360,,#overview > .card,,.card,Tuesday Jul 22 2026
Overview,3-Day Structure,2,,,Day 2 — UX/Product Launch to GA (7.5 hrs),,7 sessions + breaks,Scale360,,#overview > .card,,.card,Wednesday Jul 23 2026
Overview,3-Day Structure,3,,,Day 3 — Elevator Pitch & Key Decisions (4.75 hrs),,5 sessions,Scale360,,#overview > .card,,.card,Thursday Jul 24 2026
Overview,R266 Key Dates,1,,,Aug 3–7 (TBD),,Release Planning,,,#overview > .card,,.card,
Overview,R266 Key Dates,2,,,Aug 20,,2RR Readout - HCC 2 Release Roadmap,,,#overview > .card,,.card,
Overview,R266 Key Dates,3,,,Sep 15,,Dreamforce,,,#overview > .card,,.card,
Overview,R266 Key Dates,4,,,Nov 19,,R266 Feature Freeze,,,#overview > .card,,.card,
Overview,R266 Key Dates,5,,,Dec 10,,R266 Release Freeze → GA,,,#overview > .card,,.card,
Overview,R266 Key Dates,6,,,Jan 31 2027,,Product GA,,,#overview > .card,,.card,
Day 1,Schedule,1,8:30–8:45 AM,15m,Welcome & Planning Kickoff,"Sri, Karishma, Laksh, Betty","Welcome message, purpose and agenda for the next several days. Align on R266 product goals and success criteria.",Scale360,No artifacts required,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,session-time / session-dur / session-body / session-links
Day 1,Schedule,2,8:45-9:45 AM,1 hr,Future State User Journey,"Kent, Ravi",,Scale360,No artifacts required,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,3,9:45–10:45 AM,1 hr,Topic 1 — Headless Experience,"Kent, Ravi","Align on portfolio-wide Headless 360 experience and specific use cases across Scale360, ProM, and Scale Center. Product scope & prioritized use cases across Headless portfolio (ProM, Scale360, Scale Center) + CATT early feedback — Kent, Mayuresh, Ravi; What to automate for users and what to deliver proactively — Samir","Scale360, Scale Center, ProM",Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,4,10:45–11 AM,15m,☕ BREAK,,,,,#day1 > .card > .card-body > .session-row,session-row break-row,.card-body > .session-row,
Day 1,Schedule,5,11 AM–12 PM,1 hr,Topic 1.1 — In-App Experience,Samir,Define which features to automate and deliver proactively to users within the Scale360 product experience.,Scale360,Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,6,12 PM–1 PM,1 hr,Topic 3 — Basic & Elite Scale360 Product,"Ravi, Kent",Product feature scope to inform product packaging and customer eligibility. Review options and recommendations.,Scale360,Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,7,1 PM-2 PM,1 hr,🍽 LUNCH,,,,,#day1 > .card > .card-body > .session-row,session-row break-row,.card-body > .session-row,
Day 1,Schedule,8,2 PM–3 PM,1 hr,Topic 8 — Alerting & Alert Enrichment,"Laurent, Paymon","Discuss enrichment gap between ProM and Scale Center and plan for enrichment for Scale360 leveraging Events Platform. Tools to migrate from current Argus to Events platform.","Scale360, Scale Center, ProM",Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,9,3–3:15 PM,15m,☕ BREAK,,,,,#day1 > .card > .card-body > .session-row,session-row break-row,.card-body > .session-row,
Day 1,Schedule,10,3:15–4:15 PM,1 hr,Topic 7 — RCA Agent,Ravi,Align on pilot exit criteria and engineering work in support of pilot.,Scale360,Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,11,4:15–4:45 PM,30m,Topic 9 — Multi-Org & Multi-Cloud,"Paymon, Samir",Review the UI experience shared by Samir. Discuss and decide on the product direction and scope for FY27.,Scale360,Artifact recommended,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,12,4:45–5:15 PM,30m,Day 1 Recap & Action Items,Betty,Capture all open items. Assign owners and due dates. Confirm deadlines. Preview Day 2 agenda.,Scale360,No artifacts required,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 1,Schedule,13,5:15–6:15 PM,1 hr,Happy Hour 🍷,Team,Team bonding and informal discussions.,Scale360,No artifacts required,#day1 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,1,8:30–8:45 AM,15m,Day 2 Kickoff,"Sri, Karishma, Laksh, Betty","Open items from Day 1, priorities for today.",Scale360,,#day2 > .card > .card-body > .session-row,session-row recap-row has-links,.card-body > .session-row,
Day 2,Schedule,2,8:45–9:45 AM,1 hr,Topic 11 — UX Session,"Samir, Dan Donovan (optional)",UX discussion and planning session.,Scale360,UX planning doc (Samir),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,3,9:45–10:45 AM,1 hr,Topic 6 — Pricing & CTS Opt-In AI-Based,"Paymon, Ravi","Decide Agentforce vs. Claude AI backend, CTS rationalization, Pricing (Elite, Signature) and customer experience for customers who have not opted in to Agentforce. Sub-topics: (1) Agentforce vs. Claude — Paymon; (2) Opt-in & AI-based customer experience — Ravi; (3) Pricing & CTS for Basic and Elite — Ravi",Scale360,Pricing & CTS doc (Ravi); Customer opt-in POV (Ravi),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,4,10:45–11:00 AM,15m,☕ BREAK,,,,,#day2 > .card > .card-body > .session-row,session-row break-row has-links,.card-body > .session-row,
Day 2,Schedule,5,11:00 AM–12:30 PM,1.5 hrs,Topic 2 — ProM & Scale Center Migration & EOL,"Kent, Ravi","Align on 12-month LRP and recommendations for migrating ProM and Scale Center customers to Scale360, including staffing, feature timelines, and EOL dates.","Scale360, Scale Center, ProM",12-Month LRP findings doc (Kent/Ravi),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,6,12:30–1:30 PM,1 hr,🍽 LUNCH,,,,,#day2 > .card > .card-body > .session-row,session-row break-row has-links,.card-body > .session-row,
Day 2,Schedule,7,1:30–2:30 PM,1 hr,Topic 4 — Internal Support / CSM,"Ravi, Kent","Proposal for the Scale360 internal product experience for internal users and CSMs, drawing on Scale Center and ProM learnings.",Scale360,Proposed internal user experience doc (Ravi/Kent),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,8,2:30–3:30 PM,1 hr,Topic 5 — Product Launch to GA,Ravi,Confirm what is in scope for Dreamforce Sep 15. Align on committed vs. stretch deliverables. Outline of product launch plan and what it takes to GA a product. Assign engineering work and ownership across multiple work streams (security legal etc).,Scale360,DF scope doc; GTM Launch Hub work streams outline (Ravi),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,9,3:30–3:45 PM,15m,☕ BREAK,,,,,#day2 > .card > .card-body > .session-row,session-row break-row has-links,.card-body > .session-row,
Day 2,Schedule,10,3:45–5:15 PM,1.5 hrs,Topic 10 — Architecture Comparison,"Auro, Paymon",Current architecture vs. new architecture comparison. Helpful for migration and EOL discussions. MCP Servers & Platform Infrastructure.,Scale360,Architecture comparison deck (Auro/Paymon),#day2 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 2,Schedule,11,5:15–5:30 PM,15m,Day 2 Recap & Action Items,Betty,Capture all open items. Confirm decisions made. Preview Day 3 agenda.,Scale360,,#day2 > .card > .card-body > .session-row,session-row recap-row has-links,.card-body > .session-row,
Day 3,Schedule,1,8:30–8:45 AM,15m,Day 3 Kickoff,"Laksh, Betty","Open items from Day 2, priorities for today.",Scale360,No artifacts required,#day3 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 3,Schedule,2,8:45–10:15 AM,1.5 hrs,Breakout - Scale360 Elevator Pitch,TBD,Develop and refine the Scale360 elevator pitch for stakeholder communications and executive briefings.,Scale360,Elevator pitch template,#day3 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 3,Schedule,3,10:15–11:15 AM,1 hr,Workshop Outcomes Review & Key Decisions w/ Pending Decision Log,Betty,"Review and finalize workshop outcomes: Product Strategy & Alignment, R266 Deliverable Roadmap and Agentforce Claude work allocation.",Scale360,No artifacts required,#day3 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 3,Schedule,4,11:15 AM–12:45 PM,1.5 hrs,Workstream Planning & Action Items,Betty,Review workstream status and commitments across P1–P6. Confirm engineering ownership sprint assignments and delivery targets for R266. Comprehensive action item table: owner action due date. No action without a named owner. Confirm async follow-ups for items not closed in session.,Scale360,No artifacts required,#day3 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Day 3,Schedule,5,12:45–1:15 PM,30m,Close & Next Steps,Betty,Summarize all decisions made across 3 days. Confirm next sync cadence. Betty to publish action item table and updated workstream tracker by EOD+1.,Scale360,No artifacts required,#day3 > .card > .card-body > .session-row,session-row has-links,.card-body > .session-row,
Topics,Topic 1 - Headless Experience,1,1 hr,,"Headless Experience (Scale360, Scale Center, ProM)","Kent, Mayuresh","Overview and description of product scope. Prioritized use cases for entire Headless portfolio (ProM, Scale360, etc)","Scale360, Scale Center, ProM",,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Mayuresh Verma
Topics,Topic 1 - Headless Experience,2,1 hr,,"Headless Experience - Automation & Proactive Delivery",Samir,What would we automate for the user and what would be proactive,"Scale360, Scale Center, ProM",,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Sri Dinavahi
Topics,Topic 1 - Headless Experience,3,1 hr,,"Headless Experience - MCP Servers & Platform Infrastructure",Paymon,MCP Servers & Platform Infrastructure,"Scale360, Scale Center, ProM",,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Sri Dinavahi
Topics,Topic 1.1 - In-App Experience,1,1 hr,,In-App Experience (Scale360),Samir,What would we automate for the user and what could be done proactively,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Sri Dinavahi Dan Donovan
Topics,Topic 2 - ProM & SC Migration & EOL,1,1.5 hrs,,"ProM & Scale Center Parity & EOL / Migration to Scale360","Kent, Auro, Laurent",Recommendation on how we should approach Scale360 migration,"Scale360, Scale Center, ProM",12-Month LRP Reports and findings; Onboarding customers historically and at scale; ProM customer observability findings,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,"Type: Discuss, Decide; Outcomes: Alignment on path forward migration plan; Additional Participation: Sri Dinavahi"
Topics,Topic 3 - Basic & Elite Scale360,1,1 hr,,Basic & Elite Scale360 Product,"Ravi, Kent","Tier definitions, go-to-market strategy",Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Outcomes: Definition of Elite; Additional Participation: Sri
Topics,Topic 4 - Internal Support / CSM,1,1 hr,,Internal Support / CSM,"Ravi, Kent",Internal experience for Customer Success Managers and support teams,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Sri
Topics,Topic 5 - Product Launch to GA,1,1 hr,,Product Launch to GA,Ravi,Operational readiness & product launch checklist (200+ items),Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,
Topics,Topic 6 - Pricing & CTS,1,1 hr,,Pricing & CTS Opt-In AI-Based - Agentforce vs Claude,Paymon,Agentforce vs. Claude,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Additional Participation: Sri
Topics,Topic 6 - Pricing & CTS,2,1 hr,,Pricing & CTS Opt-In AI-Based - Opt-in Strategy,,Opt-in: experience for customers who haven't opted in; AI-based strategy,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Type: Decision; Outcomes: POV on customer experience
Topics,Topic 6 - Pricing & CTS,3,1 hr,,Pricing & CTS Opt-In AI-Based - Pricing,Ravi,Pricing & CTS,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,
Topics,Topic 7 - RCA Agent,1,1 hr,,RCA (Root Cause Analysis Agent),Ravi,Exit criteria for pilot,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Covers: skill-based vs. hardcoded RCA LLM gateway vs. Agentforce RCA + Scale Insight unified flow Java/Python ReAct loop
Topics,Topic 8 - Alerting & Enrichment,1,1 hr,,Alerting & Alert Enrichment - Enrichment Plan,"Laurent, Paymon",Plan for getting enrichment for Scale360 platform,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Covers: alerting events platform alert onboarding (15 metrics) UI access gates Slack notifications cohort org rollout
Topics,Topic 8 - Alerting & Enrichment,2,1 hr,,Alerting & Alert Enrichment - Events Platform,"Laurent, Paymon",Additional enrichment from Events platform and what's possible,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,
Topics,Topic 8 - Alerting & Enrichment,3,1 hr,,Alerting & Alert Enrichment - Migration Tools,"Laurent, Paymon",Tools to migrate current Argus to Events,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,
Topics,Topic 8 - Alerting Seeds,1,,,Alert onboarding seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Alert onboarding (15 metrics): status for 264 what remains for 266?
Topics,Topic 8 - Alerting Seeds,2,,,Alerting enrichment events platform seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Alerting enrichment events platform: collaboration between Malik Plash Shree — handoff and 266 plan
Topics,Topic 8 - Alerting Seeds,3,,,Warden AI Ops auto-remediation seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Warden AI Ops auto-remediation: callback TD from MonCloud — 266 dependency plan
Topics,Topic 8 - Alerting Seeds,4,,,Alert rollout seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Alert rollout: cohort org access gates UI testing broader rollout timeline
Topics,Topic 9 - Multi-Org,1,1 hr,,Multi-Org,Paymon,,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Covers: multi-org support org-level alerting cross-org insights tenant isolation
Topics,Topic 9 - Multi-Org Seeds,1,,,Multi-org alerting seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Multi-org alerting: scope for 266 — which alert types which tenant tiers?
Topics,Topic 9 - Multi-Org Seeds,2,,,Org throttling seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Org throttling and governor limit cases across orgs
Topics,Topic 9 - Multi-Org Seeds,3,,,Scale Center multi-org data model seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Scale Center multi-org data model: right architecture going into 266?
Topics,Topic 10 - Multi-Cloud,1,1.5 hrs,,Multi-Cloud,Paymon,,Scale360,,#topics > .card > .topic-section > table.topic-table,topic-table,.topic-section,Covers: multi-cloud support G2H parity commercial vs. G2H alerting Monitoring Cloud dependency
Topics,Topic 10 - Multi-Cloud Seeds,1,,,Multi-cloud spike results seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Multi-cloud spike results (Malik) — what did we learn what's the 266 plan?
Topics,Topic 10 - Multi-Cloud Seeds,2,,,G2H parity seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: G2H parity with commercial alerting on events platform — timeline (Q3 vs Q4)
Topics,Topic 10 - Multi-Cloud Seeds,3,,,50000 tenant support seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: 50000 tenant support target: what does engineering need to deliver?
Topics,Topic 10 - Multi-Cloud Seeds,4,,,UIP Heron seed,,,Scale360,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: UIP Heron as Splunk alternative: spike status outstanding questions for 266
Topics,Cross-Cutting Seeds,1,,,3X productivity seed,,,,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: 3X productivity: what did we learn what stays what changes for 266?
Topics,Cross-Cutting Seeds,2,,,Blocker escalation seed,,,,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Blocker escalation: define the process so dependencies don't sit unresolved for weeks
Topics,Cross-Cutting Seeds,3,,,Pre-Work Before India seed,,,,,#topics > .card > .topic-section > .seeds,seeds,.topic-section,Seed: Pre-Work Before India (Late June – Early July)
Decision Log,Decisions,1,,,D2: AgentForce vs. Claude AI backend,Karishma,Options: AgentForce / Claude / Hybrid,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D2
Decision Log,Decisions,2,,,D3: 264 Pilot Scope Lock,"Karishma, Kent",Options: Full feature set vs. MVP,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D3
Decision Log,Decisions,3,,,D4: ProM EOL Date,"Karishma, Sri",Options: Feb 2027 / Later,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D4
Decision Log,Decisions,4,,,D5: Sprint 9A Hardening Lock,"Laksh, Archana",Options: Hardening-only vs. features allowed,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D5
Decision Log,Decisions,5,,,D6: NGA Accuracy Threshold,"Karishma, Kent",Defines migration gate criteria,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D6
Decision Log,Decisions,6,,,D7: LLM Token Tracking Scope,"Paymon, Karishma",Per-RCA instrumentation scope,,Status: TBD,#decisions > .card > .decision-row,decision-row,.card,Decision number: D7
Pre-Work,Pre-Work Items,1,,,Finalize PM artifacts and topic owners in release planning doc,"Kent, Ravi, Betty",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 2 (past)
Pre-Work,Pre-Work Items,2,,,Demo to Sri and team feedback session,"Karishma, Laksh, All team",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 6 (past)
Pre-Work,Pre-Work Items,3,,,Consult Sri for inputs + assign team responsibilities,"Betty, Sri",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 7 (past)
Pre-Work,Pre-Work Items,4,,,Add topics to feature sections in planning doc,All team,,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 10 (urgent) - Bold/highlighted
Pre-Work,Pre-Work Items,5,,,Schedule strategy review with Donovan + Karishma before Hyderabad trip,Samir,,,,#prework > .card > table.prework-table,prework-table,.card,Target: Before Jul 22
Pre-Work,Pre-Work Items,6,,,"Dreamforce, pilot and 264/266 product scope alignment","Karishma, Kent, Ravi",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Before Jul 22
Pre-Work,Pre-Work Items,7,,,Coordinate with Tara to reserve meeting rooms for 3-day sessions,Betty,,,,#prework > .card > table.prework-table,prework-table,.card,Target: Before Jul 22
Pre-Work,Pre-Work Items,8,,,Block Shri calendar for relevant product strategy sessions (Wed + Thu),Betty,,,,#prework > .card > table.prework-table,prework-table,.card,Target: Before Jul 22
Pre-Work,Pre-Work Items,9,,,Finalized agenda published,Betty,,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 15
Pre-Work,Pre-Work Items,10,,,Prepare workshop artifacts — architectural and strategic topic documentation,"Kent, Ravi",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Jul 15
Pre-Work,Pre-Work Items,11,,,12-month LRP roadmap document for ProM/Scale Center → Scale360 migration,"Kent, Ravi, Auro",,,,#prework > .card > table.prework-table,prework-table,.card,Target: Before Jul 22
People & RACI,Attendees,1,,,Betty Yip,Betty,TPM — Scale360,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Betty
People & RACI,Attendees,2,,,Karishma Lalwani,Karishma,PM — Scalability Products,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Karishma
People & RACI,Attendees,3,,,Kent Allison,Kent,PM — Scale360 & ProM,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Kent
People & RACI,Attendees,4,,,Ravi Raina,Ravi,PM — Scale360 & Scale Center,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Ravi
People & RACI,Attendees,5,,,Samir Damle,Samir,UI/UX,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Samir
People & RACI,Attendees,6,,,Laksh Venka,Laksh,Engineering Lead,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Laksh
People & RACI,Attendees,7,,,Paymon Teyer,Paymon,Lead Architect / PO,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Paymon
People & RACI,Attendees,8,,,Laurent Pautet,Laurent,Lead Architect,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Laurent
People & RACI,Attendees,9,,,Archana Sethuraman,Archana,Engineering Manager,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Archana
People & RACI,Attendees,10,,,Sriram Dinavahi,Sri,SVP Engineering — Exec Sponsor,,,#people > .card > .people-grid > .person-card,person-card,.people-grid,Person code: Sri
People & RACI,RACI Legend,1,,,R - Responsible,,Leads / runs the session,,,#people > .card,,.card,
People & RACI,RACI Legend,2,,,A - Accountable,,Decision authority; owns the outcome,,,#people > .card,,.card,
People & RACI,RACI Legend,3,,,C - Consulted,,Must contribute input before decisions,,,#people > .card,,.card,
People & RACI,RACI Legend,4,,,I - Informed,,Present or updated after session,,,#people > .card,,.card,
People & RACI,Session Ownership,1,,,Betty Yip,"Betty Yip","Sessions: 1.1, 1.4, 1.5, 1.7, 2.1, 2.7*, 2.8, 2.9, 3.1*, 3.2, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9 (Total: ~6.5 hrs)",,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
People & RACI,Session Ownership,2,,,Karishma Lalwani,Karishma Lalwani,"Sessions: 1.2, 1.3 (Total: ~2.25 hrs)",,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
People & RACI,Session Ownership,3,,,Kent Allison,Kent Allison,Sessions: 1.6 (Total: ~0.75 hrs),,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
People & RACI,Session Ownership,4,,,Laurent Pautet,Laurent Pautet,"Sessions: 2.2, 2.3 (Total: ~1.5 hrs)",,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
People & RACI,Session Ownership,5,,,Paymon Teyer,Paymon Teyer,"Sessions: 2.4, 2.5 (Total: ~1.5 hrs)",,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
People & RACI,Session Ownership,6,,,Archana Sethuraman,Archana Sethuraman,Sessions: 3.3 (Total: ~0.75 hrs),,Sessions Responsible For,#people > .card > table.prework-table,prework-table,.card,
Header Metadata,Event Info,1,,,Scale360 R266 Strategic Planning - India Offsite,,.header h1,,,#header,.header,header,Badge: DRAFT
Header Metadata,Event Info,2,,,Jul 22–24 2026 · Salesforce Hyderabad + Google Meet,,.header-meta,,,#header,.header,header,
Header Metadata,Event Info,3,,,8:30 AM – 5:00 PM IST,,.header-meta,,,#header,.header,header,
Header Metadata,Event Info,4,,,TPM: Betty Yip,,.header-meta,,,#header,.header,header,
Header Metadata,Event Info,5,,,Agenda and Artifacts deadline: Jul 20 2026,,.header-meta,,,#header,.header,header,
Header Metadata,Event Info,6,,,Topics deadline: Jul 10 2026,,.header-meta,,,#header,.header,header,
